,Name,Url,County,Sites,Average_rent,Unnamed: 0,FullstreetAddress,Latitude,Longitude
0,Pridnia's Mobile Home Park,https://www.mhvillage.com/parks/15755, Alcona ,N/A,N/A,0,"116 West Church, Harrisville, MI, 48740",44.68205,-83.39782
1,Ausable Mobile Home Village,https://www.mhvillage.com/parks/15815, Iosco ,15,N/A,465,"331 First Street, Oscoda, MI, 48750",44.43481,-83.50601
2,Ossineke Mobile Home Park,https://www.mhvillage.com/parks/15757, Montmorency ,12,N/A,815,"Block 1, Old Ossineke Road, Ossineke, MI, 49766",44.9352,-83.43083
3,Rose Lane Trailer Court,https://www.mhvillage.com/parks/15818, Iosco ,35,N/A,468,"4263 Bissionette, Oscoda, MI, 48750",44.43481,-83.50601
4,Van Ettan Village,https://www.mhvillage.com/parks/569, Iosco ,32,N/A,469,"4385 Van Ettan Dam Road, Oscoda, MI, 48750",44.43481,-83.50601
5,Hubbard Lake Trailer Park,https://www.mhvillage.com/parks/541, Oscoda ,N/A,N/A,938,"7298 Hurbert Road, Hubbard Lake, MI, 49747",44.85834,-83.6389
6,Oscoda Mobile Home Park,https://www.mhvillage.com/parks/15819, Iosco ,N/A,N/A,470,"6445 Seminole Street, Oscoda, MI, 48750",44.43481,-83.50601
7,Riverview Mobile Home Park,https://www.mhvillage.com/parks/15949, Montmorency ,N/A,N/A,828,"13021 Us 23 South, Ossineke, MI, 49766",44.88774,-83.43127
8,Village Court,https://www.mhvillage.com/parks/15760, Montmorency ,N/A,N/A,831,"2300 Papin Street, Ossineke, MI, 49766",44.9352,-83.43083
9,Island View Estates,https://www.mhvillage.com/parks/15753, Luce ,37,N/A,643,"801 Prospect Street, Munising, MI, 49862",46.40564,-86.61539
10,Pioneer Village,https://www.mhvillage.com/parks/15829, Marquette ,90,N/A,690,"777 Pioneer Road, Site 169, Marquette, MI, 49855",46.52561,-87.41541
11,Silver Creek Estates,https://www.mhvillage.com/parks/15832, Marquette ,90,230,691,"627 Willow Road, Marquette, MI, 49855",46.56109,-87.36552
12,Brier's Mobile Home Court,https://www.mhvillage.com/parks/556, Delta ,10,N/A,269,"8467 P5 Road, Gladstone, MI, 49837",45.88084,-87.1059
13,Oak Bluff Estates,https://www.mhvillage.com/parks/15908, Delta ,175,N/A,270,"2722 South Hill Road, Gladstone, MI, 49837",45.88084,-87.1059
14,Birch Grove Mobile Home Community,https://www.mhvillage.com/parks/15838, Marquette ,80,N/A,693,"500 Pioneer Road, Marquette, MI, 49855",46.56109,-87.36552
15,NorthernAir Mobile Estates,https://www.mhvillage.com/parks/15841, Marquette ,150,N/A,694,"642 South Mackinac Lane, Gwinn, MI, 49841",46.32394,-87.49016
16,Whispering Pines Mobile Home Park,https://www.mhvillage.com/parks/15787, Delta ,N/A,N/A,272,"8741 0.8 Lane, Gladstone, MI, 49837",45.88084,-87.1059
17,553 Mobile Estates,https://www.mhvillage.com/parks/15828, Marquette ,N/A,N/A,696,"Box 100 Star Route, Gwinn, MI, 49841",46.32394,-87.49016
18,Lake Bluff Retirement Village,https://www.mhvillage.com/parks/100639, Delta ,N/A,N/A,273,"401 Kenneally Blvd., Gladstone, MI, 49837",45.88084,-87.1059
19,Pine Acres Trailer Court,https://www.mhvillage.com/parks/15830, Marquette ,N/A,N/A,697,"3000 Us 41 South, Marquette, MI, 49855",46.55131,-87.45097
20,Whitefish Hill Trailer Court,https://www.mhvillage.com/parks/15786, Delta ,N/A,N/A,275,"8455 Us Highway 2, Rapid River, MI, 49878",45.92293,-86.93786
